Registration Mark,Aircraft Producer,Aircraft Model,Category,Registration Date,MTOW (KGs),Year of Manufacture,Aircraft Serial Number,Engine Manufacturer,Engine Model,No. of Engines,Registered Owner,Address
EI-DWH,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,19/10/2007,66990,2007,33637,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DWK,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,27/10/2007,66990,2007,36078,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DWM,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,07/11/2007,66990,2007,36080,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DWO,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,19/11/2007,66990,2007,36079,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DWP,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,21/11/2007,66990,2007,36082,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DWR,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,29/11/2007,66990,2007,36081,CFM,CFM56-7B26,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DWS,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,07/01/2008,66990,2008,33625,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DWT,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,18/01/2008,66990,2008,33626,CFM,CFM56-7B26CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DWV,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,22/01/2008,66990,2008,33627,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DWW,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,05/02/2008,66990,2008,33629,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DWX,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,05/02/2008,66990,2008,33630,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DWY,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,14/02/2008,66990,2008,33638,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DXA,AEROSPORT LIMITED,IKARUS C42,ANNEX I 1(E) / HOMEBUILD 450 KG,26/01/2007,450,2006,0604-6809,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"DONEGAL,"
EI-DXL,CFM METAL-FAX,SHADOW SERIES CD,ANNEX I 1(E) / 450 KG,15/10/2007,374,1996,K232,ROTAX,582/48,1,PRIVATE INDIVIDUAL,"CORK,"
EI-DXM,RAJ HAMSA X' AIR,X'AIR 582(4),ANNEX I 1(E) / 450 KG,11/05/2007,450,1999,BMAA/HB/100,ROTAX,582/48,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-DXP,CYCLONE AIRSPORTS LTD,CYCLONE AX3/503,ANNEX I 1(E) / 450 KG,29/06/2007,390,1996,7252,ROTAX,503-2V,1,PRIVATE INDIVIDUAL,"KILKENNY,"
EI-DXS,CFM METAL-FAX,SHADOW SERIES C,ANNEX I 1(E) / 450 KG,04/10/2007,374,1988,K023,ROTAX,503-2V,1,PRIVATE INDIVIDUAL,"CORK,"
EI-DXT,URBAN AIR S.R.O.,SAMBA UFM-10,ANNEX I 1(E) / 450 KG,14/12/2007,450,2001,10/10,JABIRU,2200A,1,PRIVATE INDIVIDUAL,"CORK,"
EI-DXV,THRUSTER AIR SERVICES LTD,THRUSTER T600T,ANNEX I 1(E) / 450 KG,06/10/2008,390,1998,9067-T600T-009,ROTAX,582-2V,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-DXX,RAJ HAMSA X' AIR,X'AIR 582(5),ANNEX I 1(E) / 450 KG,20/12/2007,450,2001,BMAA/HB/190,ROTAX,582/48,1,PRIVATE INDIVIDUAL,"DUBLIN, TIPPERARY,"
EI-DXZ,URBAN AIR S.R.O.,SAMBA UFM-10,ANNEX I 1(E) / 450 KG,14/12/2007,450,2001,20/10,JABIRU,2200A,1,PRIVATE INDIVIDUAL,"KILDARE,"
EI-DYA,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,04/03/2008,66990,2008,33631,CFM,CFM56-7B26,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DYC,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,10/03/2008,66990,2008,36567,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DYD,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,10/03/2008,66990,2008,33632,CFM,CFM56-7B26,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DYE,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,14/03/2008,66990,2008,36568,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DYL,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,11/06/2008,66990,2008,36574,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DYO,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,10/09/2008,66990,2008,33636,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DYR,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,05/12/2008,66990,2008,37513,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DYV,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,15/12/2008,66990,2008,37512,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DYW,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,05/01/2009,66990,2008,33635,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DYX,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,05/01/2009,66990,2008,37517,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DYY,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,14/01/2009,66990,2008,37521,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DZA,CAMERON BALLOONS LIMITED,COLT 21A,BALLOON,11/12/2007,210,1984,527,,,0,PRIVATE INDIVIDUAL,"MEATH,"
EI-DZB,CAMERON BALLOONS LIMITED,COLT 14A,BALLOON,11/12/2007,140,1995,2580,,,0,PRIVATE INDIVIDUAL,"MEATH,"
EI-DZE,URBAN AIR S.R.O.,SAMBA UFM-10,ANNEX I 1(E) / 450 KG,18/12/2007,450,2001,14/10,JABIRU,2200A,1,PRIVATE INDIVIDUAL,"LONGFORD,"
EI-DZK,ROBINSON HELICOPTER COMPANY,ROBINSON R22 BETA,ROTORCRAFT,16/02/2008,621,2001,3179,LYCOMING,O-360-J2A,1,SKYWEST AVIATION LIMITED,"BALLYGARVAN, KINSALE ROAD, CORK,"
EI-DZL,URBAN AIR S.R.O.,SAMBA XXL,ANNEX I 1(E) / 450 KG,15/02/2008,450,2007,SAXL64,JABIRU,2200A,1,PRIVATE INDIVIDUAL,"MEATH, WESTMEATH,"
EI-DZM,ROBINSON HELICOPTER COMPANY,ROBINSON R44 II,ROTORCRAFT,29/04/2008,1134,2008,12207,LYCOMING,IO-540-AE1A5,1,E1 - SUB  LIMITED,"NUNSTOWN, AGHADOE, KILLARNEY, CO. KERRY,"
EI-DZN,BELL HELICOPTER TEXTRON,BELL 222,ROTORCRAFT,24/09/2008,3560,1981,47071,HONEYWELL,LTS 101-650C-3,2,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-DZO,DOMINATOR,ULTRAWHITE,GYROCOPTER,08/04/2008,299,2007,SAAC112,ROTAX,503-DCDI,1,PRIVATE INDIVIDUAL,"KILDARE,"
EI-DZS,BRM-CONSTRUCOES AERONAUTICAS LDA,LAND AFRICA,ANNEX I 1(E) / 450 KG,28/04/2008,450,2008,0100/912/K4/08,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"GALWAY,"
EI-EAK,AIRBORNE WINDSPORTS PTY LTD,EDGE X / XT,ANNEX I 1(E) / 450 KG,28/07/2008,401,2001,E-619,ROTAX,582 UL,1,PRIVATE INDIVIDUAL,"CLARE,"
EI-EAM,CESSNA AIRCRAFT COMPANY,CESSNA 172R,LAND AEROPLANE,05/02/2008,1111,1999,17280781,LYCOMING,IO-360-L2A,1,ATLANTIC FLIGHT TRAINING LIMITED,"UPPER BALLYGARVAN, KINSALE ROAD , CO. CORK,"
EI-EAV,AIRBUS INDUSTRIE,A330-302,LAND AEROPLANE,27/02/2009,233000,2009,985,GENERAL ELECTRIC COMPANY,CF6-80E1A4B,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-EAW,AIRBORNE WINDSPORTS PTY LTD,EDGE XT 582,ANNEX I 1(E) / 450 KG,02/04/2019,450,2005,XT582B-011,ROTAX,582 UL,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-EAY,BUCHANAN JD/RAJ HAMSA X'AIR,X'AIR 582(6),ANNEX I 1(E) / 450 KG,26/08/2008,450,2002,BMAA/HB/139,ROTAX,582-48-2V,1,WEST-TECH AVIATION LIMITED,"KILMORE, KILKELLY, CO. MAYO,"
EI-EAZ,CESSNA AIRCRAFT COMPANY,CESSNA 172R,LAND AEROPLANE,09/08/2007,1111,2003,17281146,LYCOMING,IO-360-L2A,1,WATERFORD AERO CLUB LIMITED,"KILLOWEN AIRPORT, WATERFORD,"
EI-EBC,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,02/02/2009,66990,2009,37520,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EBD,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,02/02/2009,66990,2009,37522,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EBE,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,11/02/2009,66990,2009,37523,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EBF,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,17/02/2009,66990,2009,37524,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EBG,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,11/02/2009,66990,2009,37525,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EBK,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,17/02/2009,66990,2009,37528,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EBL,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,02/03/2009,66990,2009,37529,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EBN,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,17/03/2009,66990,2009,35003,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EBO,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,17/03/2009,66990,2009,35004,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EBP,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,20/03/2009,66990,2009,37531,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EBR,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,30/03/2009,74990,2009,37530,CFM,CFM56-7B26CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EBS,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,30/03/2009,66990,2009,35001,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EBV,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,15/04/2009,66990,2009,35009,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EBW,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,15/04/2009,66990,2009,35010,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EBX,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,24/04/2009,66990,2009,35007,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EBY,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,27/04/2009,66990,2009,35006,CFM,CFM56-7B26CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EBZ,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,27/04/2009,66990,2009,35008,CFM,CFM56-7B26CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-ECC,CAMERON BALLOONS LIMITED,CAMERON Z-90,BALLOON,19/09/2008,816,2008,11213,,,0,PRIVATE INDIVIDUAL,"WATERFORD,"
EI-ECG,BRM-CONSTRUCOES AERONAUTICAS LDA,LAND AFRICA,ANNEX I 1(E) / 450 KG,23/10/2008,450,2008,114/912/K4/08,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"WEXFORD,"
EI-ECK,RAJ HAMSA X' AIR,X'AIR HAWK,ANNEX I 1(E) / 450 KG,28/10/2008,450,2008,1158,D-MOTOR,LF 26,1,PRIVATE INDIVIDUAL,"GALWAY,"
EI-ECM,THE BOEING COMPANY,BOEING 737-86N,LAND AEROPLANE,28/04/2015,78999,2005,32658,CFM,CFM56-7B26,2,CELESTIAL AVIATION TRADING 26 LIMITED,"AVIATION HOUSE, SHANNON, CO. CLARE,"
EI-ECP,RAJ HAMSA X' AIR,X'AIR HAWK,ANNEX I 1(E) / 450 KG,23/10/2008,450,2006,934,ROTAX,912-UL,1,PRIVATE INDIVIDUAL,"CAVAN, DONEGAL,"
EI-ECZ,RAJ HAMSA X' AIR,X'AIR HAWK,ANNEX I 1(E) / 450 KG,26/11/2008,450,2007,1163,JABIRU,2200,1,PRIVATE INDIVIDUAL,"MAYO,"
EI-EDB,CESSNA AIRCRAFT COMPANY,CESSNA 152,LAND AEROPLANE,17/04/2009,758,1978,15282993,LYCOMING,O-235-L2C,1,NATIONAL FLIGHT CENTRE LIMITED,"WESTON AERODROME, LEIXLIP, CO. KILDARE,"
EI-EDC,REIMS AVIATION SA,CESSNA FA152,LAND AEROPLANE,28/11/2008,758,1981,376,LYCOMING,O-235-L2C,1,NATIONAL FLIGHT CENTRE LIMITED,"WESTON AERODROME, LEIXLIP, CO. KILDARE,"
EI-EDI,COMCO IKARUS GMBH,IKARUS C42,ANNEX I 1(E) / HOMEBUILD 450 KG,26/11/2008,472.5,2000,0009-6272,ROTAX,912,1,PRIVATE INDIVIDUAL,"CAVAN,"
EI-EDJ,CZECH SPORT AIRCRAFT AS,SPORTCRUISER,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,21/12/2009,600,2008,700796,ROTAX,912-ULS,1,CROFTAL LIMITED,"CAPPATTEEMORE WEST, MEELICK, CO. CLARE,"
EI-EDP,AIRBUS INDUSTRIE,A320-214,LAND AEROPLANE,11/02/2009,73500,2009,3781,CFM,CFM56-5B4/3,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-EDR,PIPER AIRCRAFT INC,PIPER PA-28R-200-2,LAND AEROPLANE,10/10/2001,1202,1974,28R-7435265,LYCOMING,IO-360-C1C,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-EDS,AIRBUS INDUSTRIE,A320-214,LAND AEROPLANE,13/02/2009,73500,2009,3755,CFM,CFM56-5B4/3,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-EEH,BRM-CONSTRUCOES AERONAUTICAS LDA,LAND AFRICA,ANNEX I 1(E) / 450 KG,13/05/2009,450,2008,0115/912ULS/K4/08-LA,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"MONAGHAN,"
EI-EEO,BUTLER ANDREW,VANS RV-7,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,10/02/2011,816,2009,71700,LYCOMING,IO-360-B1CA2,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-EES,ELA AVIACION SL,ELA 07R,GYROCOPTER,11/05/2009,450,2005,6040480712,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"KILDARE,"
EI-EEU,FORDE PADRAIG,PEREIRA OSPREY 2,ANNEX I 1(C) / HOMEBUILD AMPHIBIAN,14/06/2011,707,2009,304,LYCOMING,O-360-A4A,1,PRIVATE INDIVIDUAL,"GALWAY,"
EI-EFC,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,13/05/2009,66990,2009,35015,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EFD,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,20/05/2009,66990,2009,35011,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EFE,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,14/05/2009,66990,2009,37533,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EFF,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,26/05/2009,66990,2009,35016,CFM,CFM56-7B26,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EFG,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,26/05/2009,66990,2009,35014,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EFH,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,02/06/2009,66990,2009,35012,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EFI,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,04/06/2009,66990,2009,35013,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EFJ,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,15/06/2009,66990,2009,37536,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EFK,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,24/06/2009,66990,2009,37537,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EFN,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,06/07/2009,66990,2009,37538,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EFO,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,24/07/2009,66990,2009,37539,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EFX,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,04/11/2009,66990,2009,35019,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EFY,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,05/11/2009,74990,2009,35020,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EFZ,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,09/11/2009,66990,2009,38489,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EGA,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,13/11/2009,66990,2009,38490,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EGB,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,17/11/2009,66990,2009,38491,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EGC,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,17/11/2009,66990,2009,38492,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EGD,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,30/09/2010,66990,2010,34981,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EHF,AEROPRAKT,AEROPRAKT A22 FOXBAT,ANNEX I 1(E) / 450 KG,20/09/2017,450,2003,56,ROTAX,912,1,PRIVATE INDIVIDUAL,"GALWAY,"
